G_ID,GRAV_LON,GRAV_LAT,GRAV_ANOM,NEAR_DIST,NEAR_CONTR,CONTR_LON,CONTR_LAT,CONTR_X,CONTR_Y,CONTR_OTHO.H,CONTR_ELLIP.h,CONTR_GEOID_N
268,3,6.4,20.53,0.011454993,XST68,3.011246563,6.397824759,501243.7187,707181.3205,4.926,27.356,22.43
269,3.033333333,6.4,19.86,0.01887917,XST68,3.011246563,6.397824759,501243.7187,707181.3205,4.926,27.356,22.43
270,3.066666667,6.4,18.42,0.016385478,XST72,3.053622142,6.399500358,505929.8695,707366.8433,4.771,27.167,22.396
271,3.366666667,6.4,26.24,0.011245575,XST107,3.380957803,6.397472254,542129.1449,707157.9457,3.34,25.47,22.129
272,3.4,6.4,20.87,0.019209236,XST107,3.380957803,6.397472254,542129.1449,707157.9457,3.34,25.47,22.129
273,4.166666667,6.4,32.92,0.002082705,XST227,4.168038344,6.399300309,629177.751,707491.1922,4.229,26.334,22.105
274,4.2,6.4,30.35,0.013122828,XST228,4.20987726,6.391360073,633807.6029,706623.961,4.907,26.979,22.073
275,4.233333333,6.4,27.64,0.021899155,XST228,4.20987726,6.391360073,633807.6029,706623.961,4.907,26.979,22.073
276,4.266666667,6.4,25.6,0.022038621,XST229A,4.255296272,6.383583508,638833.6357,705776.1406,0,26.153,0
277,4.3,6.4,24.34,0.021495645,XST230,4.304484751,6.378977398,644275.9926,705280.3504,0,25.794,0
278,4.333333333,6.4,22.91,0.033060213,XST230,4.304484751,6.378977398,644275.9926,705280.3504,0,25.794,0
